title,year_released,genre_id,minutes_runtime,budget,revenue,metacritic_rating_id,director_id
Pulp Fiction,1994,1,154,8000000,214179088,9,0
Godfather,1972,1,175,6000000,245066411,10,1
The Avengers,2012,7,143,220000000,1518815515,7,2
Space Jam,1996,6,88,80000000,250200000,6,3
The Emoji Movie,2017,6,86,50000000,216909830,1,4
Lincoln,2012,11,149,65000000,275293450,9,5
Memento,2001,0,113,9000000,39723096,8,6
John Wick,2014,2,101,20000000,88761661,7,7
Jaws,1975,4,124,7000000,470653000,9,5
The Room,2003,8,99,6000000,1752988,1,8
Saw,2004,4,103,1200000,103911669,5,9
Big Daddy,1999,6,93,34200000,234801895,4,10
Citizen Kane,1941,9,119,839727,23218000,10,11
